layer,weighted_mean_kl,batch_mean_kl,std_kl,sem_kl,ci95_low,ci95_high,n_batches,n_tokens
0,8.762954632657646,8.762086686221036,0.3681933773860433,0.049647184878709394,8.664778203858765,8.859395168583307,55,50303
1,8.992394042408941,8.991434877569025,0.34418987169872056,0.04641055283210367,8.900470194018101,9.08239956111995,55,50303
2,9.195466497888898,9.189108042283491,0.5700879076551337,0.07687063778660973,9.038441592221737,9.339774492345246,55,50303
3,9.870893019879881,9.864484613591975,0.6032634133400434,0.08134402206059264,9.705050330353213,10.023918896830736,55,50303
4,8.306413033599942,8.309597544236617,0.45710664789654526,0.061636247828576886,8.188790498492606,8.430404589980627,55,50303
5,8.451245908616038,8.46729358326305,0.7097794163008389,0.09570663696985315,8.279708574802138,8.654878591723962,55,50303
6,8.515770458130966,8.512849114157937,0.3805646769999767,0.051315330578350485,8.41227106622437,8.613427162091504,55,50303
7,9.560020049917028,9.570108743147417,0.6239661660373494,0.08413558066481949,9.40520300504437,9.735014481250463,55,50303
8,8.897010034195597,8.892104278911244,0.37052323405846316,0.0499613426883303,8.794180047242117,8.990028510580371,55,50303
9,8.987979951195008,8.990963918512518,0.39247501978780974,0.052921320872239906,8.887238129602927,9.09468970742211,55,50303
10,8.501368150979703,8.49831960851496,0.35242448956962324,0.04752090847930366,8.405178627895525,8.591460589134394,55,50303
11,7.713232875740026,7.715734542499889,0.3870590486893399,0.05219103147830125,7.6134401208024185,7.818028964197359,55,50303
12,8.98191358640109,8.9843919060447,0.373985158698789,0.05042814851160346,8.885552734961957,9.083231077127442,55,50303
13,8.900878148162052,8.910134584253484,0.6006498056742695,0.08099160327483312,8.751391041834811,9.068878126672157,55,50303
14,9.580277113697129,9.590480440313167,0.7309800461515016,0.09856532931574334,9.39729239485431,9.783668485772024,55,50303
15,12.815642278232298,12.813221445950594,0.9181575237068456,0.12380433524054923,12.570564948879118,13.05587794302207,55,50303
16,9.08796609077691,9.095960252935237,0.36931628678627293,0.0497985979513481,8.998355000950594,9.19356550491988,55,50303
17,8.849739581925341,8.856425406716086,0.6017182407298831,0.08113567102834224,8.697399491500535,9.015451321931637,55,50303
18,9.928471907980104,9.92474519556219,0.6275196264173496,0.08461472916471242,9.758900326399354,10.090590064725026,55,50303
19,10.351323367970968,10.360684915022416,0.9103239179492117,0.12274805205567164,10.1200987329933,10.601271097051532,55,50303
20,13.36074732689512,13.371719256314364,1.0660727753141626,0.14374922369852303,13.08997077786526,13.653467734763469,55,50303
21,10.216649640827647,10.213622023842552,0.7836785342008769,0.10567119199472527,10.00650648753289,10.420737560152213,55,50303
22,11.73012727387034,11.719514049183239,0.8676122332758328,0.11698880966919856,11.490215982231609,11.948812116134869,55,50303
23,11.45976734161377,11.470126377452504,0.8996882189799564,0.12131393469921717,11.232351065442037,11.70790168946297,55,50303
24,11.024565453439589,11.021519712968306,0.5065655222440361,0.0683052810851099,10.88764136204149,11.155398063895122,55,50303
25,10.526510349536297,10.519320852106267,0.5436029352003968,0.07329940482934445,10.375654018640752,10.662987685571782,55,50303
26,12.021343926564601,12.018237980929287,0.598610563478704,0.08071663191327721,11.860033382379264,12.17644257947931,55,50303
27,12.802004222222626,12.796510280262341,0.531395624266617,0.07165337135882437,12.656069672399045,12.936950888125637,55,50303
28,13.156811074736796,13.145887634970926,0.5278374481830895,0.07117358699359752,13.006387404463474,13.285387865478377,55,50303
29,10.648237819370948,10.643784505670721,0.602881449047867,0.08129251800594241,10.484451170379074,10.803117840962368,55,50303
30,12.349133016679087,12.339573444019665,0.7172623260665897,0.09671563231683197,12.150010804678674,12.529136083360656,55,50303
31,12.859434470048214,12.846874098344284,1.0824479951793113,0.14595725789470076,12.56079787287067,13.132950323817896,55,50303
32,9.694650263325906,9.692655615373091,0.6675711483376564,0.0900152752787353,9.516225675826771,9.869085554919412,55,50303
33,9.555662583805251,9.555415673689408,0.4776472996898976,0.06440594875137359,9.429180014136715,9.681651333242101,55,50303
34,16.30704204832785,16.306639376553623,0.6380268118609227,0.08603151776089898,16.13801760174226,16.475261151364986,55,50303
35,0.00033878427346826796,0.000338600515070456,2.54968795249996e-05,3.4379985337993166e-06,0.00033186203794420934,0.00034533899219670267,55,50303
