    [group_G4/L9] step  12500/122070 | loss=620.9 | L0=80 | FVE=0.7265 | dead=0.461 | a=0.0045±0.0063 | 51.2M tok | ETA 8.9h
    [group_G4/L9] step  13000/122070 | loss=610.8 | L0=80 | FVE=0.7271 | dead=0.456 | a=0.0048±0.0072 | 53.2M tok | ETA 8.9h
    [group_G4/L9] step  13500/122070 | loss=620.5 | L0=80 | FVE=0.7295 | dead=0.443 | a=0.0059±0.0082 | 55.3M tok | ETA 8.8h
    [group_G4/L9] step  14000/122070 | loss=614.2 | L0=80 | FVE=0.7310 | dead=0.435 | a=0.0062±0.0089 | 57.3M tok | ETA 8.8h
    [group_G4/L9] step  14500/122070 | loss=605.1 | L0=80 | FVE=0.7313 | dead=0.431 | a=0.0071±0.0097 | 59.4M tok | ETA 8.7h
    [group_G4/L9] step  15000/122070 | loss=601.8 | L0=80 | FVE=0.7342 | dead=0.422 | a=0.0085±0.0107 | 61.4M tok | ETA 8.7h
    [group_G4/L9] step  15500/122070 | loss=613.2 | L0=80 | FVE=0.7297 | dead=0.420 | a=0.0090±0.0114 | 63.5M tok | ETA 8.7h
    [group_G4/L9] step  16000/122070 | loss=606.8 | L0=80 | FVE=0.7300 | dead=0.416 | a=0.0100±0.0121 | 65.5M tok | ETA 8.6h
    [group_G4/L9] step  16500/122070 | loss=616.7 | L0=80 | FVE=0.7304 | dead=0.410 | a=0.0116±0.0130 | 67.6M tok | ETA 8.6h
    [group_G4/L9] step  17000/122070 | loss=603.7 | L0=80 | FVE=0.7346 | dead=0.404 | a=0.0130±0.0137 | 69.6M tok | ETA 8.5h
    [group_G4/L9] step  17500/122070 | loss=613.6 | L0=80 | FVE=0.7325 | dead=0.396 | a=0.0148±0.0144 | 71.7M tok | ETA 8.5h
    [group_G4/L9] step  18000/122070 | loss=591.9 | L0=80 | FVE=0.7379 | dead=0.397 | a=0.0162±0.0152 | 73.7M tok | ETA 8.5h
    [group_G4/L9] step  18500/122070 | loss=597.7 | L0=80 | FVE=0.7378 | dead=0.391 | a=0.0184±0.0158 | 75.8M tok | ETA 8.4h
    [group_G4/L9] step  19000/122070 | loss=593.5 | L0=80 | FVE=0.7384 | dead=0.387 | a=0.0200±0.0165 | 77.8M tok | ETA 8.4h
    [group_G4/L9] step  19500/122070 | loss=586.1 | L0=80 | FVE=0.7415 | dead=0.385 | a=0.0220±0.0171 | 79.9M tok | ETA 8.3h
    [group_G4/L9] step  20000/122070 | loss=575.8 | L0=80 | FVE=0.7449 | dead=0.384 | a=0.0241±0.0178 | 81.9M tok | ETA 8.3h
    [group_G4/L9] step  20500/122070 | loss=601.4 | L0=80 | FVE=0.7352 | dead=0.381 | a=0.0255±0.0184 | 84.0M tok | ETA 8.3h
